Mt-enriched progenitors_name,Mt-enriched progenitors_logfoldchange,Mt-enriched progenitors_pval,Embryonic gut mesenchymal cells_name,Embryonic gut mesenchymal cells_logfoldchange,Embryonic gut mesenchymal cells_pval,Gut wall SM and ICCs_name,Gut wall SM and ICCs_logfoldchange,Gut wall SM and ICCs_pval,Villus SM cells_name,Villus SM cells_logfoldchange,Villus SM cells_pval,Mature fibroblast-like cells_name,Mature fibroblast-like cells_logfoldchange,Mature fibroblast-like cells_pval,Pericytes_name,Pericytes_logfoldchange,Pericytes_pval,Colonic mesenchymal cells-1_name,Colonic mesenchymal cells-1_logfoldchange,Colonic mesenchymal cells-1_pval,Colonic mesenchymal cells-2_name,Colonic mesenchymal cells-2_logfoldchange,Colonic mesenchymal cells-2_pval,Tmem176a+ cells_name,Tmem176a+ cells_logfoldchange,Tmem176a+ cells_pval,Undifferentiated endothelial cells_name,Undifferentiated endothelial cells_logfoldchange,Undifferentiated endothelial cells_pval,Transitioning endothelial cells_name,Transitioning endothelial cells_logfoldchange,Transitioning endothelial cells_pval,Venous endothelial cells_name,Venous endothelial cells_logfoldchange,Venous endothelial cells_pval,Arterial endothelial cells_name,Arterial endothelial cells_logfoldchange,Arterial endothelial cells_pval,Lymphatic endothelial cells_name,Lymphatic endothelial cells_logfoldchange,Lymphatic endothelial cells_pval,Capillary endothelial cells_name,Capillary endothelial cells_logfoldchange,Capillary endothelial cells_pval,Lgr5+ stem/ progenitor cells_name,Lgr5+ stem/ progenitor cells_logfoldchange,Lgr5+ stem/ progenitor cells_pval,Enterocytes-1_name,Enterocytes-1_logfoldchange,Enterocytes-1_pval,Enterocytes-2_name,Enterocytes-2_logfoldchange,Enterocytes-2_pval,Enterocytes-3_name,Enterocytes-3_logfoldchange,Enterocytes-3_pval,Goblet cells_name,Goblet cells_logfoldchange,Goblet cells_pval,Enteroendocrine cells_name,Enteroendocrine cells_logfoldchange,Enteroendocrine cells_pval,Enteric neurons_name,Enteric neurons_logfoldchange,Enteric neurons_pval,Enteric glial cells_name,Enteric glial cells_logfoldchange,Enteric glial cells_pval,Enteric neuronal progenitor cells_name,Enteric neuronal progenitor cells_logfoldchange,Enteric neuronal progenitor cells_pval,Mesothelial progenitor cells_name,Mesothelial progenitor cells_logfoldchange,Mesothelial progenitor cells_pval,Differentiated mesothelial cells_name,Differentiated mesothelial cells_logfoldchange,Differentiated mesothelial cells_pval,Macrophages-1_name,Macrophages-1_logfoldchange,Macrophages-1_pval,Macrophages-2_name,Macrophages-2_logfoldchange,Macrophages-2_pval,Erythrocytes_name,Erythrocytes_logfoldchange,Erythrocytes_pval
mt-Nd1,0.52438986,6.461925818244454e-209,Peg3,3.3852537,0.0,Cald1,2.5104866,0.0,Aoc3,7.175294,3.105335078484623e-109,Gpc3,3.8312948,0.0,Col4a2,3.977938,2.801165977936685e-118,Ptn,3.189411,0.0,Cd63,2.202051,6.037939870644085e-168,Lama5,6.0181413,3.2436902769367983e-34,Ppia,0.71327484,0.0,Plxnd1,3.1228356,0.0,Fbln5,5.527806,5.580264037093681e-184,Fbln2,5.588142,2.2399001222505155e-92,Thy1,7.8902574,5.231041753116771e-237,Eng,4.6008716,0.0,Tspan8,3.7707462,0.0,Aldh1b1,4.5572443,0.0,Ace2,6.558198,0.0,Dbi,3.2856104,0.0,Tspan8,4.9222507,5.837458168050738e-131,Tff3,7.9072237,1.1150539037025486e-85,Tubb2b,4.4543867,0.0,Epb41l3,4.8945436,3.0942622085623822e-145,Cdh2,4.0954185,0.0,Podxl,3.2161431,5.468504848140118e-302,Sparc,3.5951467,5.504161696292743e-286,Lst1,6.654906,0.0,Aif1,6.441567,7.193746209226072e-241,Blvrb,3.5787628,1.1431432493237581e-87
Hbb-y,2.60736,8.433110917065264e-177,Lgals1,3.0294962,0.0,Tshz2,2.479462,0.0,Mustn1,7.309997,6.347004871100939e-108,Col5a1,4.3954663,0.0,Cald1,3.393512,6.482622526413185e-117,Isoc1,3.0061903,0.0,Cald1,2.6087236,1.12323582962125e-166,Col6a2,4.104745,8.553276815466257e-33,Actg1,0.8549969,0.0,Pecam1,3.270362,0.0,Aplnr,4.726275,5.577855981221438e-182,Ltbp4,4.197796,7.147602735423867e-92,Ecscr,3.5213256,1.0002243230397002e-225,Emcn,4.8969836,0.0,Rpl32,0.8756179,0.0,Ndrg1,4.346907,0.0,Spink1,6.035091,0.0,Ckmt1,5.5462837,0.0,Serpina1b,7.5299854,5.934153040178426e-131,Neurod1,13.68912,1.1233761275407551e-82,Bex2,4.1393185,0.0,Cryab,5.8107605,1.3871645377529639e-144,Tpt1,0.79696316,0.0,Nnat,2.9835184,1.1369642763325173e-293,Col3a1,5.4670696,3.560481490905191e-283,Arhgdib,4.7557435,0.0,Cd52,6.661426,1.399694122557451e-240,Gpx1,2.9854677,9.416859915599553e-76
Npm1,0.40209118,1.4042313762795965e-106,Mfap4,3.4483144,0.0,Tpm1,2.383468,0.0,Mcam,4.8955116,3.1700926824186256e-107,Col6a3,4.696173,0.0,Mcam,4.45857,5.370114858694611e-116,Igfbp2,3.2576354,0.0,Colec10,6.326544,5.985974126476506e-166,Ifitm3,3.2346668,9.996519190733255e-32,Vim,1.739398,0.0,Ramp2,3.0285213,0.0,S100a10,3.1448176,4.078791193565645e-180,Epas1,4.6423335,1.3766314931382753e-91,Vim,2.4815824,1.1362938085662845e-215,Hspg2,4.3845534,0.0,Wfdc2,4.0757623,0.0,Tspan8,4.517108,0.0,Ckmt1,5.812171,0.0,Spink1,5.652116,0.0,Guca2a,7.827113,1.1362413857890912e-129,Hepacam2,8.248772,1.5584530832500125e-81,Prdx2,1.9445248,0.0,Aatk,8.062706,4.896217357464396e-144,Foxd3,6.6782517,0.0,Dcn,3.5034578,7.327391841938603e-292,Aebp1,5.197392,1.3004436658195895e-282,Laptm5,6.44515,0.0,Tyrobp,6.6371627,1.0106568103664399e-239,Prdx2,1.6910319,1.1914916754013417e-72
Rpl13,0.29602665,1.8509339066106592e-96,Slit2,3.8136482,0.0,Acta2,4.2892942,0.0,Jag1,5.5547223,6.368958880855559e-107,Dlk1,4.662213,0.0,Notch3,5.6506968,9.569027448697652e-115,Nnat,2.8263543,2.4734512255439655e-308,Mab21l2,3.1595187,8.034744413643807e-164,AW112010,6.2180257,2.880401096081242e-31,mt-Atp6,0.6965734,0.0,Fkbp1a,1.9730138,0.0,Cd9,3.4708986,7.22212377819067e-171,Gja4,5.4978547,5.141976245208187e-90,Egfl7,3.4863691,5.463164434441681e-209,Pecam1,4.506887,0.0,Krt18,3.2087321,0.0,Lgals2,4.9912395,0.0,Glb1,5.0050826,0.0,Ass1,5.7713547,0.0,Cldn3,5.3756065,1.4407779088536738e-126,Cacna1a,5.0770793,1.9213630980898076e-81,Tagln3,7.1810217,0.0,Postn,5.434991,1.9872027070094308e-141,Ccnd1,3.3229575,0.0,Smim1,3.1238525,1.1427997704308498e-284,Col1a1,5.411652,8.922932807014504e-281,C1qb,7.3101907,0.0,Csf1r,5.9867425,1.0857116418980753e-234,Car2,6.2123623,7.53483735678428e-72
Mdk,1.1294323,1.5205236074865245e-92,Plagl1,2.7603307,0.0,Tcf21,3.240261,0.0,Flna,3.970021,4.8071610467021756e-104,Col14a1,5.3290095,0.0,Rasgrp2,4.614568,1.660267842706747e-111,Basp1,2.3811445,1.9813980389450933e-300,Col6a1,2.8454726,7.73977167314095e-156,Aldh1a3,8.747937,1.161101221247332e-30,Pfn1,0.95856416,0.0,Cd93,3.2172563,0.0,Cd36,4.8059354,1.908490348183259e-166,Jag1,5.130797,7.083856432142791e-90,Lyve1,6.7086444,3.6870444696439274e-208,Col15a1,5.1079273,0.0,Cldn3,4.1248055,0.0,Spint2,3.754218,0.0,Aldob,5.847734,0.0,Apoa1,5.8886476,3.052643711407133e-303,Hepacam2,8.698347,4.080122832426556e-124,Ttr,5.254751,3.205658193863432e-80,Stmn3,8.023682,0.0,Arpc1b,3.2100618,7.175883967827604e-141,Ppp1r14b,2.2684503,0.0,Pmp22,2.856222,5.116986072303518e-267,Cav1,4.5115485,3.235206472045718e-278,Ctsc,5.23919,0.0,H2-Eb1,9.081044,1.4198095047612051e-234,Hbb-bh1,10.456967,2.557249084373863e-71
H2afz,0.4804583,1.0580770335145233e-91,Mfap2,2.627499,0.0,Smoc2,3.307185,0.0,Pde3a,4.829668,1.740908422062174e-102,Meg3,4.3124638,0.0,Itga1,4.617569,6.65693227436908e-110,Sox11,2.6913192,5.246306170825432e-297,Col1a2,3.0806375,1.1051376396985739e-152,Foxf1,4.31611,1.7657261618979283e-29,mt-Nd5,0.9219526,0.0,Gnas,1.7099848,0.0,Ramp2,3.627333,1.6656845428489492e-161,Mmrn2,4.356726,6.46119326158451e-85,Ccl21a,9.522429,8.780385879916467e-207,Egfl7,4.411851,0.0,Rpl12,1.0096365,0.0,Mgst1,3.820584,0.0,Muc13,5.605587,0.0,Cystm1,4.7121625,1.7303799980240074e-273,Gmds,4.513719,5.761569452846326e-123,Stard10,3.9595811,1.3817671811015135e-78,Sox11,3.7254374,0.0,Zeb2,4.2499356,6.116987503931798e-138,Ascl1,5.528994,0.0,Npnt,4.3935766,1.4517590086605824e-264,Efemp1,7.2912116,1.3416458879610931e-269,Aif1,6.708236,0.0,Lgmn,5.5331955,1.737261149119003e-233,Nudt4,3.8088634,5.5747683193307786e-67
Rpsa,0.35181066,2.5214096488174368e-85,Sulf2,3.0231998,0.0,Ptn,2.9119325,0.0,Eln,6.763937,1.3066454444328498e-98,Col5a2,3.6140187,0.0,Igfbp7,4.595246,1.277518047156795e-109,6330403K07Rik,2.7758453,4.779590898828158e-289,Adamdec1,5.4823866,1.9473689028335268e-142,Col18a1,3.69019,4.455030959038743e-28,Gng11,2.2497587,0.0,Kdr,2.946396,0.0,Fbn1,3.8390353,5.553625924939306e-153,Ramp2,3.6259181,4.801782147467994e-84,Lbp,5.698302,1.8429765945260609e-202,Itm2b,2.5420551,0.0,Eef1b2,1.1307305,0.0,Hspd1,2.7867846,0.0,Dgat2,6.232572,0.0,Gpx3,5.5815716,7.316546053129916e-262,Lgals4,5.77365,1.348722249994258e-121,Bex2,3.7542238,3.8901968071866403e-78,Elavl3,8.302963,0.0,Serpine2,4.824242,8.531843265162845e-138,Slitrk6,5.3593397,0.0,Itm2a,2.8370762,2.1777690074782556e-263,Col1a2,5.002118,2.050765622826087e-268,Ly86,6.9793825,0.0,Pla2g7,7.282564,3.538633173418628e-229,Slc4a1,11.046378,6.926040877279439e-67
Rps8,0.2248474,4.800214664907036e-85,Nr2f2,2.9076881,0.0,Cpe,2.904587,0.0,Actn1,4.067434,3.559145020783204e-98,Peg3,3.7968574,0.0,Ndufa4l2,5.678251,2.9716041095257345e-109,Hoxd9,5.6485133,1.871440010812961e-279,Rgs5,4.672331,2.4141195640852876e-142,Tgfbi,4.470023,5.642415463034782e-28,Gnai2,1.2380847,0.0,Tcf15,3.4374392,0.0,Slc6a6,3.7166717,2.1518079032857137e-152,Vim,2.8302274,1.022355093366939e-83,Gja1,4.0149555,3.031135468062048e-201,Ly6a,6.610785,0.0,Pcbd1,2.9050703,0.0,Ociad2,4.1710668,0.0,Naga,5.185841,0.0,Apoa4,5.1421547,4.5241337697222087e-244,Tpsg1,11.724909,9.81586698920382e-121,Cystm1,3.9009464,6.736468843991537e-78,Celf3,6.849462,0.0,Matn2,5.704742,4.0652539269749996e-137,Cacng4,4.7372756,0.0,Gas1,2.6717925,8.482832761901132e-263,Igfbp5,4.9740996,1.112534008517455e-265,B2m,2.8958833,0.0,Fcer1g,6.4554167,9.636140497217746e-229,Fam210b,4.765595,2.8851070566502353e-61
Rps3a1,0.26723212,3.0423065122812275e-83,Dcn,3.569093,0.0,Mylk,3.9271388,0.0,Ndufa4l2,5.765369,5.4423292481698626e-98,S100a6,4.127279,0.0,Lamb1,3.5580478,5.208352737329979e-109,Nfib,2.2245293,6.304362572155948e-276,Tgfbi,2.9395535,2.442844807463518e-142,Pten,3.408931,2.4645749643669395e-27,Cfl1,0.7789835,0.0,Gng11,2.7484345,0.0,Clec14a,4.222568,1.7541236463791836e-151,Cdh5,3.81259,3.652736943845415e-82,Elk3,3.2161028,1.45429617351555e-200,Ctla2a,5.136814,0.0,Rps3,0.88101584,0.0,Cdh17,4.552955,0.0,Amn,5.7010984,0.0,S100a1,5.0822673,7.007800492339151e-241,Galnt7,4.66685,1.104895088726375e-119,Krt18,3.8642366,9.383165163829119e-78,Phox2a,8.708404,0.0,Sostdc1,8.5320215,5.375436860034475e-137,Cthrc1,3.9713883,0.0,Krt7,3.342193,7.7711519371604225e-258,C3,9.324508,2.8874077087568425e-257,Fth1,1.7365551,0.0,Tmsb4x,2.6960335,5.173189144393352e-228,Creg1,3.2699144,3.7301915666322336e-58
Ppia,0.22645505,3.303479613886451e-83,Gas1,2.8051965,0.0,Foxp1,2.2720158,0.0,Gm13889,5.149148,2.1803498397610175e-96,Vcan,4.598796,0.0,Ifitm3,3.2405834,2.7823126619215333e-104,Meg3,3.0499315,1.850977058195796e-273,Mdk,2.5595465,5.904949773593435e-142,Nkx2-3,3.4067073,5.370878880842788e-27,Tagln2,1.6057245,0.0,Lmo2,3.0024333,0.0,Pecam1,3.8331292,3.580813493496141e-151,Clec14a,4.3822846,6.607724306896055e-82,Tbx1,8.034812,5.1897654916552044e-198,Adgrf5,4.8342695,0.0,Fkbp4,2.0343304,0.0,Cps1,5.1351633,0.0,Smim24,5.2385583,0.0,Scp2,3.2146556,5.208413695354583e-240,Spink4,11.165083,8.438018634883472e-118,Vwa5b2,8.2923565,1.4536990845608576e-74,Hand2,3.7163837,0.0,Olfml2a,7.489607,7.98470698554223e-136,Hand2,3.138335,0.0,P3h4,3.0559278,4.6849793054796184e-253,Krt7,4.7298603,2.2453947602897226e-256,C1qc,7.1607995,0.0,Unc93b1,5.4557266,1.0656919758256515e-222,Fech,4.11633,4.2700829121315645e-56
