Mesenchymal progenitors-1_name,Mesenchymal progenitors-1_logfoldchange,Mesenchymal progenitors-1_pval,Mesenchymal progenitors-2_name,Mesenchymal progenitors-2_logfoldchange,Mesenchymal progenitors-2_pval,Mesenchymal progenitors-3_name,Mesenchymal progenitors-3_logfoldchange,Mesenchymal progenitors-3_pval,Gut wall mesenchymal progenitors_name,Gut wall mesenchymal progenitors_logfoldchange,Gut wall mesenchymal progenitors_pval,SM-1 (Gut wall)_name,SM-1 (Gut wall)_logfoldchange,SM-1 (Gut wall)_pval,SM-2 (Gut wall)_name,SM-2 (Gut wall)_logfoldchange,SM-2 (Gut wall)_pval,Interstetial cells of Cajal (ICC)_name,Interstetial cells of Cajal (ICC)_logfoldchange,Interstetial cells of Cajal (ICC)_pval,Pdgfra+ fibroblast-like cells_name,Pdgfra+ fibroblast-like cells_logfoldchange,Pdgfra+ fibroblast-like cells_pval,Tnc+ Acta-low myofibroblast-like cells_name,Tnc+ Acta-low myofibroblast-like cells_logfoldchange,Tnc+ Acta-low myofibroblast-like cells_pval,SM-3 (Villus)_name,SM-3 (Villus)_logfoldchange,SM-3 (Villus)_pval,Pericytes_name,Pericytes_logfoldchange,Pericytes_pval
Scrn1,3.3199053,2.9846177113020303e-69,Slit2,1.3568157,2.460733295259064e-125,Rpl41,0.43125272,7.99891714433522e-37,Cox7a2l,0.9552674,1.4962293330823586e-103,Actg1,0.73953605,2.2368485478706049e-57,Rbpms,1.9420911,2.3592603293852615e-104,Ldhb,2.225136,1.677322228101337e-69,Col6a3,2.2620316,0.0,Fbn1,1.9432724,1.960896740312747e-32,Pdgfa,4.2810426,3.817786645428544e-80,Art3,7.782628,1.2838957860109916e-92
Cxcl13,3.0622718,9.335864285723077e-66,Rpl11,0.60496306,7.308039057043073e-122,Tagln,1.4210595,3.4745138244077695e-36,Rps13,0.50249386,1.1441585927115478e-99,Actb,0.6823814,3.413818115267271e-57,Flna,1.7491508,1.5520127557766752e-98,Elovl6,2.8543735,4.657374467802168e-68,Nid1,2.6310709,0.0,mt-Nd1,0.8888106,4.144657276774199e-32,Notch3,4.1887817,4.8941195675228306e-79,Fabp7,5.5588684,1.87574593722502e-92
Tnfaip8,1.3921928,1.0061405762158342e-64,Eef1b2,0.733394,3.145768290334784e-119,Hmgb2,1.2634095,2.6325232040180476e-35,Tcf21,1.3328248,1.2076748904008383e-98,Tgfb1i1,1.4370635,1.386388830894627e-56,Cnn2,1.8287827,7.546333233272575e-98,mt-Nd1,0.7767325,3.1200125958325605e-66,Ebf1,3.1147728,0.0,Col4a1,2.2074451,4.3388078635659194e-32,Cav2,6.7613964,2.303797627534616e-76,Notch3,3.6590533,1.3399348535549396e-91
Mdk,0.84231925,2.878726552036978e-63,Rpl18,0.620622,1.539662070756455e-118,Acta2,1.367347,3.1925425068002904e-35,Rps27a,0.433137,9.188235462164235e-98,Mab21l2,1.6525301,2.554133897051475e-56,Psd,2.0914907,3.7943213704427044e-97,Atp2a3,4.30058,5.126162184973841e-66,Fstl1,1.5886719,0.0,Matn2,2.912099,1.073591517345102e-31,Uba2,3.4032235,4.4031778645347183e-76,Ndufa4l2,4.0404286,7.96467734058466e-90
Igfbp5,1.3059584,1.8896452251921817e-61,Rpl26,0.43589354,1.1336813368407127e-116,Top2a,2.061647,7.17178324019904e-35,Rpl30,0.45330924,2.837234600984868e-94,Mpped2,2.037179,1.5913575197470473e-54,Synpo2,3.238311,1.3542563980505951e-93,Pde3a,2.6734402,4.149400042836347e-64,Col5a2,1.6960328,0.0,mt-Cytb,0.84591615,1.1923929358894623e-31,Bcam,5.584166,4.443707639603429e-75,Phlda1,4.2805786,1.3407033424806585e-89
Adamtsl1,1.9370743,2.9845580442537452e-61,Tmsb10,0.68991345,5.396971408612762e-115,Ndufa4l2,1.9008229,2.7740441559970213e-34,Etv1,2.3169777,8.23355647120633e-94,Lmod1,3.059047,1.7613277282951572e-53,Myocd,3.6844559,5.195060260460344e-93,Dkk2,2.9416158,2.499234776281764e-63,Igfbp7,3.1548657,0.0,Hsp90b1,1.7253615,1.4951483526906751e-31,Cavin1,3.2497687,1.9941496724601266e-74,Tagln2,3.2430224,4.869468266677919e-83
Tnc,2.526372,8.046333819458966e-60,Rps14,0.62598956,7.450209517089057e-113,Tyms,1.5985794,7.142511576524195e-34,Nnat,1.5137366,8.871761415614478e-93,Cdc42ep3,2.399394,3.35612352744033e-51,Mab21l2,2.0438914,4.760385316966227e-90,mt-Co3,0.56051064,4.7160158802143766e-63,Zim1,3.235103,0.0,Sparc,1.4854481,2.1395348863221983e-31,Actn1,3.2251806,3.3383754477371236e-74,mt-Cytb,0.96496373,4.977187204332366e-81
Mmp16,1.8206564,1.1946877312802485e-57,Rps27a,0.41040206,2.0912757142095365e-112,Tmsb10,0.5884809,3.481935597259275e-33,Cox4i1,0.62443626,6.27205646818006e-91,Rbpms,1.3706721,7.750087833696316e-51,Ncam1,1.8695769,3.7056279419372776e-85,Ano1,3.7945626,3.172214264100251e-62,Vcan,2.5752034,0.0,Dcn,3.0187216,3.0572410405889746e-31,Lgalsl,4.377082,5.555145889857839e-74,Tgfb2,4.06647,2.8464678246642805e-79
Cux2,2.158107,3.5811282045770097e-57,Pdia6,0.8967081,5.2687042547303936e-110,Spc24,1.7588466,4.4379754897970696e-33,Rpl23,0.39007637,3.506777083211844e-86,Bend5,2.480825,1.540726554144464e-50,Fbxl22,4.6152735,3.0277063422608184e-84,Itpk1,3.7845078,1.57304907567507e-60,Serping1,2.982793,0.0,mt-Nd4,0.777661,2.9165655360040703e-30,Tpm2,2.9687235,6.407301725166442e-74,Gjc1,2.6221154,8.200724293986649e-78
Rps7,0.505355,2.9212034411978896e-53,Csrp2,1.1419438,1.783548595153556e-108,Cdk1,1.5894871,8.518003283484932e-33,Rps5,0.6646863,3.151332495631354e-85,Flna,1.3077612,2.0792370233061913e-50,Rpl7,0.6592516,4.693427346802531e-83,Foxp1,1.9633447,1.409357836247269e-59,Igfbp4,1.4080992,0.0,Fhl2,3.3557909,4.7032632150174876e-30,Gm13889,5.149919,1.5341051242181626e-73,Abcc9,3.1366665,1.7645207321355767e-77
Adgrl3,1.8204485,3.453228222974044e-51,Eef1g,0.850932,1.547667122550364e-107,Snrpd1,0.7643332,9.950703893551805e-33,Rpl17,0.50629544,8.637745255916663e-85,Pfn1,0.81632525,3.737477531452137e-49,Ccnd2,1.655463,2.148110529924536e-82,Osr1,1.8147062,4.328772506802179e-58,Fbln1,2.3417127,0.0,Igfbp3,4.0783405,7.239493335991034e-30,Inpp4b,6.368537,6.331682857565961e-73,Igfbp3,4.2006626,2.7474965565737522e-76
Hmga2,1.67256,7.493720406416129e-51,Rps15,0.5011342,2.979079371494493e-106,Tubb4b,1.1817101,1.1101231586432199e-32,Lsp1,1.2702795,5.300518144032471e-84,Map1b,1.5099825,2.488657136098424e-47,Aldh1a1,3.1492658,1.5004504094481244e-80,Atp5b,1.159727,1.3905019301178266e-57,Akap12,2.1283462,0.0,mt-Atp6,0.71512395,2.503015511314577e-29,Lmod1,4.9412885,1.6708887856342067e-72,Mfge8,3.1374207,4.8662932767423e-75
Cxcl12,1.0651245,9.825214130614416e-51,Rps11,0.40908927,1.2082192768454864e-104,Tuba1a,0.9503621,5.664174885084155e-32,Atxn7l3b,0.8369448,8.199268681595777e-84,Myocd,2.877125,5.451871900800724e-47,Nexn,2.7524896,4.8477975769201386e-79,Slc12a2,2.6828299,1.4336183389251397e-56,Tnxb,4.1143627,0.0,Col4a2,2.23107,1.935191897863559e-28,Rgs7bp,4.6663857,5.131846307388481e-72,Myo1b,3.6366415,5.178660284787103e-74
Bex3,0.7934023,1.118291259526916e-50,Rps24,0.3204036,1.0397725113588987e-102,Mfge8,1.2883848,9.994360698686296e-32,Rps24,0.34140328,2.6092931250166104e-83,Cox8a,0.75173545,2.447189348297194e-45,Hacd1,2.5175133,1.0677770263344098e-78,Atp1a1,2.1654,1.0779100571382975e-53,Ahnak,1.9836315,0.0,S100a6,2.5263157,4.888213869353182e-28,Col4a1,2.930351,2.76307092857405e-69,Tns1,3.0429611,9.801667482564087e-74
Ntm,2.2876954,2.4346327358322826e-49,Rps25,0.45857945,9.80814582060765e-102,Mif,0.7933306,1.4208891483540893e-31,Rpl18,0.5792315,1.2188168080830225e-81,Smoc2,1.3060979,8.427536503730564e-45,Csrp1,2.095492,1.0557650363391141e-73,Ppp1r14a,2.3440852,2.2065366110472517e-52,Col5a3,4.848876,0.0,mt-Co2,0.69815457,8.758382002478793e-28,Dstn,2.6952748,6.588081544634094e-69,Tmem176a,2.6232257,1.0455563822719463e-73
Fam198b,2.640863,9.277555567353766e-49,Rps8,0.36857876,1.523265138658949e-98,Tuba1b,1.0062397,1.5861747719788937e-31,Rps7,0.5382085,1.7784127749292824e-81,Nexn,2.1441479,1.3214101245200413e-43,Pdlim3,4.2232003,1.247026747819212e-73,Aldoa,1.5368929,1.646664502925099e-51,Pcolce,2.8340878,0.0,Col6a3,1.8700353,1.0221178118590828e-27,Parm1,3.8028615,1.4481515150529636e-68,Thbd,4.9650655,1.6784266036488137e-73
Set,0.68690073,1.06621326059172e-48,Rpl22l1,0.5913727,9.927669185321768e-98,Rnaseh2c,1.0857564,4.043861633263769e-31,Rnd3,1.4400035,3.625884166567995e-81,Cox4i1,0.63335353,3.5403825602364193e-43,Pfn1,0.95018035,2.2246543469605271e-72,Prkcq,5.6278887,4.285974292514488e-50,Sparcl1,1.8692746,3.077271735688191e-306,Nov,4.2848387,3.2253199076985195e-27,Crip2,3.8212454,3.4162951960246424e-68,Ggt5,5.162026,2.4511107776109963e-72
Sulf2,1.0031513,3.2061947479945574e-48,Ppib,0.66077036,3.877445443467056e-97,Dut,1.0873984,9.820348692374887e-31,Tceal9,0.69197726,2.1586133862360575e-80,Fermt2,1.2274176,4.764263671682895e-42,Aldh1a2,3.8221672,3.5540970723693237e-72,mt-Co2,0.50883216,2.609366318657675e-48,Matn2,3.2932703,1.1843170939094585e-299,Malat1,1.0095245,9.367146864078224e-27,Map3k20,4.542068,5.105825694939701e-68,Gucy1a1,3.1058128,2.1333428090120285e-70
